id,name,address,city,cuisine
485,izzy's steak & chop house, 3345 steiner st., san francisco, steak houses
486,jack's, 615 sacramento st., san francisco, old san francisco
487,kabuto sushi, 5116 geary blvd., san francisco, asian
488,katia's, 600 5th ave., san francisco, 
489,kuleto's, 221 powell st., san francisco, italian
490,kyo-ya. sheraton palace hotel, 2 new montgomery st.  at market st., san francisco, asian
491,l'osteria del forno, 519 columbus ave., san francisco, italian
492,le central, 453 bush st., san francisco, french
493,le soleil, 133 clement st., san francisco, asian
494,macarthur park, 607 front st., san francisco, american
495,manora, 3226 mission st., san francisco, asian
496,maykadeh, 470 green st., san francisco, greek and middle eastern
497,mccormick & kuleto's, ghirardelli sq., san francisco, seafood
498,millennium, 246 mcallister st., san francisco, vegetarian
499,moose's, 1652 stockton st., san francisco, mediterranean
500,north india, 3131 webster st., san francisco, asian
501,one market, 1 market st., san francisco, american
502,oritalia, 1915 fillmore st., san francisco, italian
503,pacific pan pacific hotel, 500 post st., san francisco, french
504,palio d'asti, 640 sacramento st., san francisco, italian
505,pane e vino, 3011 steiner st., san francisco, italian
506,pastis, 1015 battery st., san francisco, french
507,perry's, 1944 union st., san francisco, american
508,r&g lounge, 631 b kearny st., san francisco, or 415/982-3811 asian
509,rubicon, 558 sacramento st., san francisco, american
510,rumpus, 1 tillman pl., san francisco, american
511,sanppo, 1702 post st., san francisco, asian
512,scala's bistro, 432 powell st., san francisco, italian
513,south park cafe, 108 south park, san francisco, french
514,splendido embarcadero,4, san francisco, mediterranean
515,stars, 150 redwood alley, san francisco, american
516,stars cafe, 500 van ness ave., san francisco, american
517,stoyanof's cafe, 1240 9th ave., san francisco, greek and middle eastern
518,straits cafe, 3300 geary blvd., san francisco, asian
519,suppenkuche, 601 hayes st., san francisco, russian/german
520,tadich grill, 240 california st., san francisco, seafood
521,the heights, 3235 sacramento st., san francisco, french
522,thepin, 298 gough st., san francisco, asian
523,ton kiang, 3148 geary blvd., san francisco, asian
524,vertigo, 600 montgomery st., san francisco, mediterranean
525,vivande porta via, 2125 fillmore st., san francisco, italian
526,vivande ristorante, 670 golden gate ave., san francisco, italian
527,world wrapps, 2257 chestnut st., san francisco, american
528,wu kong, 101 spear st., san francisco, asian
529,yank sing, 427 battery st., san francisco, asian
530,yaya cuisine, 1220 9th ave., san francisco, greek and middle eastern
531,yoyo tsumami bistro, 1611 post st., san francisco, french
532,zarzuela, 2000 hyde st., san francisco, mexican/latin american/spanish
533,zuni cafe & grill, 1658 market st., san francisco, mediterranean
534,apple pan  the, 10801 w. pico blvd., west la, american
535,asahi ramen, 2027 sawtelle blvd., west la, noodle shops
536,baja fresh, 3345 kimber dr., westlake village, mexican
537,belvedere  the, 9882 little santa monica blvd., beverly hills, pacific new wave
538,benita's frites, 1433 third st. promenade, santa monica, fast food
539,bernard's, 515 s. olive st., los angeles, continental
540,bistro 45, 45 s. mentor ave., pasadena, californian
541,brent's deli, 19565 parthenia ave., northridge, delis
542,brighton coffee shop, 9600 brighton way, beverly hills, coffee shops
543,bristol farms market cafe, 1570 rosecrans ave. s., pasadena, californian
544,bruno's, 3838 centinela ave., mar vista, italian
545,cafe '50s, 838 lincoln blvd., venice, american
546,cafe blanc, 9777 little santa monica blvd., beverly hills, pacific new wave
547,cassell's, 3266 w. sixth st., la, hamburgers
548,chez melange, 1716 pch, redondo beach, eclectic
549,diaghilev, 1020 n. san vicente blvd., w. hollywood, russian
550,don antonio's, 1136 westwood blvd., westwood, italian
551,duke's, 8909 sunset blvd., w. hollywood, coffee shops
552,falafel king, 1059 broxton ave., westwood, middle eastern
553,feast from the east, 1949 westwood blvd., west la, chinese
554,gumbo pot  the, 6333 w. third st., la, cajun/creole
555,hollywood hills coffee shop, 6145 franklin ave., hollywood, coffee shops
556,indo cafe, 10428 1/2 national blvd., la, indonesian
557,jan's family restaurant, 8424 beverly blvd., la, coffee shops
558,jiraffe, 502 santa monica blvd, santa monica, californian
559,jody maroni's sausage kingdom, 2011 ocean front walk, venice, hot dogs
560,joe's, 1023 abbot kinney blvd., venice, american (new)
561,john o'groats, 10516 w. pico blvd., west la, coffee shops
562,johnnie's pastrami, 4017 s. sepulveda blvd., culver city, delis
563,johnny reb's southern smokehouse, 4663 long beach blvd., long beach, southern/soul
564,johnny rockets (la), 7507 melrose ave., la, american
565,killer shrimp, 4000 colfax ave., studio city, seafood
566,kokomo cafe, 6333 w. third st., la, american
567,koo koo roo, 8393 w. beverly blvd., la, chicken
568,la cachette, 10506 little santa monica blvd., century city, french (new)
569,la salsa (la), 22800 pch, malibu, mexican
570,la serenata de garibaldi, 1842 e. first, st. boyle hts., mexican/tex-mex
571,langer's, 704 s. alvarado st., la, delis
572,local nochol, 30869 thousand oaks blvd., westlake village, health food
573,main course  the, 10509 w. pico blvd., rancho park, american
574,mani's bakery & espresso bar, 519 s. fairfax ave., la, desserts
575,martha's, 22nd street grill 25 22nd, st. hermosa beach, american
576,maxwell's cafe, 13329 washington blvd., marina del rey, american
577,michael's (los angeles), 1147 third st., santa monica, californian
578,mishima, 8474 w. third st., la, noodle shops
579,mo better meatty meat, 7261 melrose ave., la, hamburgers
580,mulberry st., 17040 ventura blvd., encino, pizza
581,ocean park cafe, 3117 ocean park blvd., santa monica, american
582,ocean star, 145 n. atlantic blvd., monterey park, seafood
583,original pantry bakery, 875 s. figueroa st. downtown, la, diners
584,parkway grill, 510 s. arroyo pkwy., pasadena, californian
585,pho hoa, 642 broadway, chinatown, vietnamese
586,pink's famous chili dogs, 709 n. la brea ave., la, hot dogs
587,poquito mas, 2635 w. olive ave., burbank, mexican
588,r-23, 923 e. third st., los angeles, japanese
589,rae's, 2901 pico blvd., santa monica, diners
590,rubin's red hots, 15322 ventura blvd., encino, hot dogs
591,ruby's (la), 45 s. fair oaks ave., pasadena, diners
592,russell's burgers, 1198 pch, seal beach, hamburgers
593,ruth's chris steak house (los angeles), 224 s. beverly dr., beverly hills, steakhouses
594,shiro, 1505 mission st. s., pasadena, pacific new wave
595,sushi nozawa, 11288 ventura blvd., studio city, japanese
596,sweet lady jane, 8360 melrose ave., la, desserts
597,taiko, 11677 san vicente blvd., brentwood, noodle shops
598,tommy's, 2575 beverly blvd., la, hamburgers
599,uncle bill's pancake house, 1305 highland ave., manhattan beach, diners
600,water grill, 544 s. grand ave., los angeles, seafood
601,zankou chicken, 1415 e. colorado st., glendale, middle eastern
602,afghan kebab house, 764 ninth ave., new york city, afghan
603,arcadia, 21 e. 62nd st., new york city, american (new)
604,benny's burritos, 93 ave. a, new york city, mexican
605,cafe con leche, 424 amsterdam ave., new york city, cuban
606,corner bistro, 331 w. fourth st., new york city, hamburgers
607,cucina della fontana, 368 bleecker st., new york city, italian
608,cucina di pesce, 87 e. fourth st., new york city, seafood
609,darbar, 44 w. 56th st., new york city, indian
610,ej's luncheonette, 432 sixth ave., new york city, diners
611,edison cafe, 228 w. 47th st., new york city, diners
612,elias corner, 24-02 31st st., queens, greek
613,good enough to eat, 483 amsterdam ave., new york city, american
614,gray's papaya, 2090 broadway, new york city, hot dogs
615,il mulino, 86 w. third st., new york city, italian
616,jackson diner, 37-03 74th st., queens, indian
617,joe's shanghai, 9 pell st., queens, chinese
618,john's pizzeria, 48 w. 65th st., new york city, pizza
619,kelley & ping, 127 greene st., new york city, pan-asian
620,kiev, 117 second ave., new york city, ukrainian
621,kuruma zushi, 2nd fl., new york city, japanese
622,la caridad, 2199 broadway, new york city, cuban
623,la grenouille, 3 e. 52nd st., new york city, french (classic)
624,lemongrass grill, 61a seventh ave., brooklyn, thai
625,lombardi's, 32 spring st., new york city, pizza
626,marnie's noodle shop, 466 hudson st., new york city, asian
627,menchanko-tei, 39 w. 55th st., new york city, japanese
628,mitali east-west, 296 bleecker st., new york city, indian
629,monsoon (ny), 435 amsterdam ave., new york city, thai
630,moustache, 405 atlantic ave., brooklyn, middle eastern
631,nobu, 105 hudson st., new york city, japanese
632,one if by land  tibs, 17 barrow st., new york city, continental
633,oyster bar, lower level, new york city, seafood
634,palm, 837 second ave., new york city, steakhouses
635,palm too, 840 second ave., new york city, steakhouses
636,patsy's pizza, 19 old fulton st., brooklyn, pizza
637,peter luger steak house, 178 broadway, brooklyn, steakhouses
638,rose of india, 308 e. sixth st., new york city, indian
639,sam's noodle shop, 411 third ave., new york city, chinese
640,sarabeth's, 1295 madison ave., new york city, american
641,sparks steak house, 210 e. 46th st., new york city, steakhouses
642,stick to your ribs, 5-16 51st ave., queens, bbq
643,sushisay, 38 e. 51st st., new york city, japanese
644,sylvia's, 328 lenox ave., new york city, southern/soul
645,szechuan hunan cottage, 1588 york ave., new york city, chinese
646,szechuan kitchen, 1460 first ave., new york city, chinese
647,teresa's, 80 montague st., queens, polish
648,thai house cafe, 151 hudson st., new york city, thai
649,thailand restaurant, 106 bayard st., new york city, thai
650,veselka, 144 second ave., new york city, ukrainian
651,westside cottage, 689 ninth ave., new york city, chinese
652,windows on the world, 107th fl., new york city, eclectic
653,wollensky's grill, 205 e. 49th st., new york city, steakhouses
654,yama, 122 e. 17th st., new york city, japanese
655,zarela, 953 second ave., new york city, mexican
656,andre's french restaurant, 401 s. 6th st., las vegas, french (classic)
657,buccaneer bay club, 3300 las vegas blvd. s., las vegas, continental
658,buzio's in the rio, 3700 w. flamingo rd., las vegas, seafood
659,emeril's new orleans fish house, 3799 las vegas blvd. s., las vegas, seafood
660,fiore rotisserie & grille, 3700 w. flamingo rd., las vegas, italian
661,hugo's cellar, 202 e. fremont st., las vegas, continental
662,madame ching's, 3300 las vegas blvd. s., las vegas, asian
663,mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese
664,michael's (las vegas), 3595 las vegas blvd. s., las vegas, continental
665,monte carlo, 3145 las vegas blvd. s., las vegas, french (new)
666,moongate, 3400 las vegas blvd. s., las vegas, chinese
667,morton's of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses
668,nicky blair's, 3925 paradise rd., las vegas, italian
669,piero's restaurant, 355 convention center dr., las vegas, italian
670,spago (las vegas), 3500 las vegas blvd. s., las vegas, californian
671,steakhouse  the, 128 e. fremont st., las vegas, steakhouses
672,stefano's, 129 fremont st., las vegas, italian
673,sterling brunch, 3645 las vegas blvd. s., las vegas, eclectic
674,tre visi, 3799 las vegas blvd. s., las vegas, italian
675,103 west, 103 w. paces ferry rd., atlanta, continental
676,alon's at the terrace, 659 peachtree st., atlanta, sandwiches
677,baker's cajun cafe, 1134 euclid ave., atlanta, cajun/creole
678,barbecue kitchen, 1437 virginia ave., atlanta, bbq
679,bistro  the, 56 e. andrews dr. nw, atlanta, french bistro
680,bobby & june's kountry kitchen, 375 14th st., atlanta, southern/soul
681,bradshaw's restaurant, 2911 s. pharr court, atlanta, southern/soul
682,brookhaven cafe, 4274 peachtree rd., atlanta, vegetarian
683,cafe sunflower, 5975 roswell rd., atlanta, health food
684,canoe, 4199 paces ferry rd., atlanta, american (new)
685,carey's, 1021 cobb pkwy. se, marietta, hamburgers
686,carey's corner, 1215 powers ferry rd., marietta, hamburgers
687,chops, 70 w. paces ferry rd., atlanta, steakhouses
688,chopstix, 4279 roswell rd., atlanta, chinese
689,deacon burton's soulfood restaurant, 1029 edgewood ave. se, atlanta, southern/soul
690,eats, 600 ponce de leon ave., atlanta, italian
691,flying biscuit  the, 1655 mclendon ave., atlanta, eclectic
692,frijoleros, 1031 peachtree st. ne, atlanta, tex-mex
693,greenwood's, 1087 green st., roswell, southern/soul
694,harold's barbecue, 171 mcdonough blvd., atlanta, bbq
695,havana sandwich shop, 2905 buford hwy., atlanta, cuban
696,house of chan, 2469 cobb pkwy., smyrna, chinese
697,indian delights, 3675 satellite blvd., duluth, indian
698,java jive, 790 ponce de leon ave., atlanta, coffee shops
699,johnny rockets (at), 2970 cobb pkwy., atlanta, american
700,kalo's coffee house, 1248 clairmont rd., decatur, coffeehouses
701,la fonda latina, 4427 roswell rd., atlanta, spanish
702,lettuce souprise you (at), 3525 mall blvd., duluth, cafeterias
703,majestic, 1031 ponce de leon ave., atlanta, diners
704,morton's of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses
705,my thai, 1248 clairmont rd., atlanta, thai
706,nava, 3060 peachtree rd., atlanta, southwestern
707,nuevo laredo cantina, 1495 chattahoochee ave. nw, atlanta, mexican
708,original pancake house (at), 4330 peachtree rd., atlanta, american
709,palm  the (atlanta), 3391 peachtree rd. ne, atlanta, steakhouses
710,rainbow restaurant, 2118 n. decatur rd., decatur, vegetarian
711,ritz-carlton cafe (atlanta), 181 peachtree st., atlanta, american (new)
712,riviera, 519 e. paces ferry rd., atlanta, mediterranean
713,silver skillet  the, 200 14th st. nw, atlanta, coffee shops
714,soto, 3330 piedmont rd., atlanta, japanese
715,thelma's kitchen, 764 marietta st. nw, atlanta, cafeterias
716,tortillas, 774 ponce de leon ave. ne, atlanta, tex-mex
717,van gogh's restaurant & bar, 70 w. crossville rd., roswell, american (new)
718,veggieland, 220 sandy springs circle, atlanta, vegetarian
719,white house restaurant, 3172 peachtree rd. ne, atlanta, diners
720,zab-e-lee, 4837 old national hwy., college park, thai
721,bill's place, 2315 clement st., san francisco, hamburgers
722,cafe flore, 2298 market st., san francisco, californian
723,caffe greco, 423 columbus ave., san francisco, continental
724,campo santo, 240 columbus ave., san francisco, mexican
725,cha cha cha's, 1805 haight st., san francisco, caribbean
726,doidge's, 2217 union st., san francisco, american
727,dottie's true blue cafe, 522 jones st., san francisco, diners
728,dusit thai, 3221 mission st., san francisco, thai
729,ebisu, 1283 ninth ave., san francisco, japanese
730,emerald garden restaurant, 1550 california st., san francisco, vietnamese
731,eric's chinese restaurant, 1500 church st., san francisco, chinese
732,hamburger mary's, 1582 folsom st., san francisco, hamburgers
733,kelly's on trinity, 333 bush st., san francisco, californian
734,la cumbre, 515 valencia st., san francisco, mexican
735,la mediterranee, 288 noe st., san francisco, mediterranean
736,la taqueria, 2889 mission st., san francisco, mexican
737,mario's bohemian cigar store cafe, 2209 polk st., san francisco, italian
738,marnee thai, 2225 irving st., san francisco, thai
739,mel's drive-in, 3355 geary st., san francisco, hamburgers
740,mo's burgers, 1322 grant st., san francisco, hamburgers
741,phnom penh cambodian restaurant, 631 larkin st., san francisco, cambodian
742,roosevelt tamale parlor, 2817 24th st., san francisco, mexican
743,sally's cafe & bakery, 300 de haro st., san francisco, american
744,san francisco bbq, 1328 18th st., san francisco, thai
745,slanted door, 584 valencia st., san francisco, vietnamese
746,swan oyster depot, 1517 polk st., san francisco, seafood
747,thep phanom, 400 waller st., san francisco, thai
748,ti couz, 3108 16th st., san francisco, french
749,trio cafe, 1870 fillmore st., san francisco, american
750,tu lan, 8 sixth st., san francisco, vietnamese
751,vicolo pizzeria, 201 ivy st., san francisco, pizza
752,wa-ha-ka oaxaca mexican grill, 2141 polk st., san francisco, mexican
753,arnie morton's of chicago, 435 s. la cienega blvd., los angeles, steakhouses
754,art's deli, 12224 ventura blvd., studio city, delis
755,bel-air hotel, 701 stone canyon rd., bel air, californian
756,cafe bizou, 14016 ventura blvd., sherman oaks, french bistro
757,campanile, 624 s. la brea ave., los angeles, californian
758,chinois on main, 2709 main st., santa monica, pacific new wave
759,citrus, 6703 melrose ave., los angeles, californian
760,fenix at the argyle, 8358 sunset blvd., w. hollywood, french (new)
761,granita, 23725 w. malibu rd., malibu, californian
762,grill  the, 9560 dayton way, beverly hills, american (traditional)
763,katsu, 1972 hillhurst ave., los feliz, japanese
764,l'orangerie, 903 n. la cienega blvd., w. hollywood, french (classic)
765,le chardonnay (los angeles), 8284 melrose ave., los angeles, french bistro
766,locanda veneta, 8638 w. third st., los angeles, italian
767,matsuhisa, 129 n. la cienega blvd., beverly hills, seafood
768,palm  the (los angeles), 9001 santa monica blvd., w. hollywood, steakhouses
769,patina, 5955 melrose ave., los angeles, californian
770,philippe the original, 1001 n. alameda st., chinatown, cafeterias
771,pinot bistro, 12969 ventura blvd., studio city, french bistro
772,rex il ristorante, 617 s. olive st., los angeles, nuova cucina italian
773,spago (los angeles), 8795 sunset blvd., w. hollywood, californian
774,valentino, 3115 pico blvd., santa monica, italian
775,yujean kang's, 67 n. raymond ave., pasadena, chinese
776,21 club, 21 w. 52nd st., new york city, american (new)
777,aquavit, 13 w. 54th st., new york city, scandinavian
778,aureole, 34 e. 61st st., new york city, american (new)
779,cafe lalo, 201 w. 83rd st., new york city, coffeehouses
780,cafe des artistes, 1 w. 67th st., new york city, french (classic)
781,carmine's, 2450 broadway, new york city, italian
782,carnegie deli, 854 seventh ave., new york city, delis
